Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Jatinom, Puluhan,Selasa,5 Juli 2022,,2,1,,,
Jatinom, Jemawan,Selasa,5 Juli 2022,,,15,,,
Jatinom, Mranggen,Selasa,5 Juli 2022,,,6,,,
Tulung, Tulung ,Selasa,5 Juli 2022,,,30,,,
Tulung, Bono,Selasa,5 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Selasa,5 Juli 2022,,,5,,,
Tulung, Sedayu,Selasa,5 Juli 2022,,,28,,,
Tulung, Pucang Miliran,Selasa,5 Juli 2022,,,5,,,
Tulung, Malangan,Selasa,5 Juli 2022,,,5,,,
Tulung, Mundu,Selasa,5 Juli 2022,,,11,,,
Tulung, Kemiri,Selasa,5 Juli 2022,,,18,,,
Tulung, Tegalmulyo,Selasa,5 Juli 2022,,,3,,,
Tulung, Dompol,Selasa,5 Juli 2022,,,7,,,
Tulung, Tangkil,Selasa,5 Juli 2022,,,3,,,
Jogonalan, Tambakan,Selasa,5 Juli 2022,,,2,,,
Jogonalan, Rejoso,Selasa,5 Juli 2022,,,24,,15,
Jogonalan, Granting,Selasa,5 Juli 2022,,,19,,6,
Jogonalan, Dompyongan,Selasa,5 Juli 2022,,,17,,,
Karanganom, Jungkare,Selasa,5 Juli 2022,,,5,,,
Karanganom, Jurangjero,Selasa,5 Juli 2022,,,1,,,
Prambanan, Sengon,Selasa,5 Juli 2022,,,15,,1,
Prambanan, Randusari,Selasa,5 Juli 2022,,,1,,,
Prambanan, Brajan,Selasa,5 Juli 2022,,,12,,,
Prambanan, Kebondalem lor,Selasa,5 Juli 2022,,2,3,,,
Prambanan, Kokosan,Selasa,5 Juli 2022,,,5,,,
Prambanan, Joho,Selasa,5 Juli 2022,,,8,,,
Prambanan, Kemudo,Selasa,5 Juli 2022,,2,13,,1,
Gantiwarno, Karangturi,Selasa,5 Juli 2022,,2,6,,,
Gantiwarno, Kragilan,Selasa,5 Juli 2022,,,14,,,
Karangnongko, Jiwan,Selasa,5 Juli 2022,,,3,,,
Manisrenggo, Tijayan,Selasa,5 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Selasa,5 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Selasa,5 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Selasa,5 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Selasa,5 Juli 2022,,,7,,,
Manisrenggo, Barukan,Selasa,5 Juli 2022,,,2,,,
Wonosari, Jelobo,Selasa,5 Juli 2022,,,17,,,
Wedi, Kalitengah,Selasa,5 Juli 2022,,4,,,,
Wedi, Melikan,Selasa,5 Juli 2022,,2,6,,,
Wedi, Jiwowetan,Selasa,5 Juli 2022,,,4,,,
Wedi, Kadilanggon,Selasa,5 Juli 2022,,1,4,,,
Wedi, Kaligayam,Selasa,5 Juli 2022,,6,18,,7,
